1.萧炎	0.3630435530021779	
2.萧战	0.12468162426337423	
3.斗气	0.11822538712055217	
4.纳兰嫣然	0.08801055830355828	
5.功法	0.08289597544938651	
6.熏儿	0.07700923851561349	
7.修炼	0.06684954174014723	
8.少女	0.052344424660337424	
9.族长	0.04868638062229141	
10.宗主	0.04430681656104295	
11.老者	0.04339144571835276	
12.家族	0.043381179519828214	
13.父亲	0.04070409399246626	
14.斗之气	0.040338172555797545	
15.萧家	0.03667106595981595	
16.纳兰	0.034548910925797545	
17.脸庞	0.03300443086693252	
18.云岚宗	0.03300395936383436	
19.葛叶	0.03300395936383436	
20.斗技	0.028359728006073618	
